gene,k,MD,LI,LS,tau,tau2,I2,pvalor,significativo,Pathway,UP/DOWN,Alteração
RRAGD,3,"0,527158","-0,21061","1,264932","0,632701","0,40031","95,6","0,161372",0,Autophagy,UP,"1,44"
HBE1,3,"0,516348","-0,93171","1,964408","0,783434","0,613769","17,9","0,484617",0,autophagy,UP,"1,43"
SLC25A4,3,"0,505799","-0,45191","1,463509","0,83377","0,695172","97,3","0,300602",0,Mitochondrial Biogenesis (complete),UP,"1,42"
TINAG,3,"0,502342","-0,4978","1,502485","0,605085","0,366128","42,7","0,324894",0,autophagy,UP,"1,42"
PPP2CA,3,"0,132274","0,0218","0,242748","0,029239","0,000855","8,5","0,018937",1,Autophagy,UP,"1,10"
TDH,3,"0,458084","-0,53977","1,455939","0,577119","0,333066","29,1","0,36824",0,autophagy,UP,"1,37"
AOX1,3,"0,453705","-1,24352","2,150925","1,209628","1,463201","69,5","0,600312",0,autophagy,UP,"1,37"
PCK1,3,"0,451614","-0,33406","1,23729","0,441566","0,19498",28,"0,2599",0,autophagy,UP,"1,37"
ATG9B,3,"0,438851","-0,4099","1,287604","0,588944","0,346855","61,9","0,310857",0,Mitochondrial Biogenesis (complete),UP,"1,36"
RPS6KB1,3,"0,175451","0,027953","0,322949","0,037354","0,001395","7,9","0,01973",1,Autophagy,UP,"1,13"
SGTB,3,"0,413506","-0,17529","1,002304","0,496925","0,246935","91,8","0,168671",0,autophagy,UP,"1,33"
MT1HL1,2,"0,412941","-1,6693","2,495184",0,0,0,"0,697499",0,Mitochondrial Biogenesis (complete),UP,"1,33"
SPATA18,3,"0,406303","-0,01008","0,822684","0,269699","0,072738","65,2","0,055805",0,autophagy,UP,"1,33"
UBXN2B,3,"0,401295","-0,06372","0,866314","0,396481","0,157197","93,2","0,090758",0,autophagy,UP,"1,32"
OVGP1,3,"0,364029","-0,25421","0,982264","0,44988","0,202392","71,3","0,248465",0,autophagy,UP,"1,29"
LONP1,3,"0,363939","-0,34502","1,072897","0,61325","0,376076","96,2","0,314342",0,Mitochondrial Biogenesis (complete),UP,"1,29"
MAP1LC3B,3,"0,361489","-0,18108","0,904058","0,467597","0,218647","95,2","0,191601",0,Mitochondrial Biogenesis (complete),UP,"1,28"
GRPEL2,3,"0,354358","-0,4561","1,164811","0,701859","0,492606","96,1","0,391456",0,Mitochondrial Biogenesis (complete),UP,"1,28"
HERPUD1,3,"0,353724","-0,29503","1,002482","0,561937","0,315773","96,4","0,285225",0,autophagy,UP,"1,28"
RRAGC,3,"0,348676","-0,2733","0,970655","0,53531","0,286556","95,4","0,271874",0,Autophagy,UP,"1,27"
IMMP1L,3,"0,347237","-0,18929","0,883767","0,432312","0,186894","85,5","0,204622",0,Mitochondrial Biogenesis (complete),UP,"1,27"
CYP2R1,3,"0,346374","-0,67196","1,364707","0,883073","0,779818","96,5","0,504983",0,autophagy,UP,"1,27"
ZC3H14,3,"0,136368","0,001633","0,271103","0,028128","0,000791","4,9","0,047283",1,autophagy,UP,"1,10"
ESRRG,2,"0,339524","-0,16259","0,841635","0,326235","0,106429","80,6","0,18506",0,Mitochondrial Biogenesis (complete),UP,"1,27"
RNF185,3,"0,336774","-0,13151","0,805053","0,401713","0,161373","94,3","0,158664",0,autophagy,UP,"1,26"
SPOPL,3,"0,334869","-0,19562","0,865359","0,451749","0,204077","93,8","0,215999",0,autophagy,UP,"1,26"
TIGAR,3,"0,33233","-0,20065","0,865308","0,421623","0,177766","83,9","0,221659",0,autophagy,UP,"1,26"
ERAP1,3,"0,288648","0,119214","0,458082","0,028664","0,000822","3,3","0,000841",1,autophagy,UP,"1,22"
NUB1,3,"0,184943","0,065957","0,303928","0,011904","0,000142","1,2","0,002315",1,autophagy,UP,"1,14"
RNF14,3,"0,310639","-0,00813","0,629412","0,245296","0,06017","76,3","0,056134",0,autophagy,UP,"1,24"
DEPP1,3,"0,310548","-0,06439","0,685484","0,271875","0,073916",68,"0,104503",0,autophagy,UP,"1,24"
UBE2S,3,"0,303148","-0,43799","1,044281","0,616686","0,380302",89,"0,422724",0,autophagy,UP,"1,23"
SUPV3L1,3,"0,299654","-0,22372","0,823025","0,443223","0,196446","91,9","0,261782",0,Mitochondrial Biogenesis (complete),UP,"1,23"
HSPA6,3,"0,294354","-0,15677","0,745475","0,172964","0,029917",8,"0,200937",0,Mitochondrial Biogenesis (complete),UP,"1,23"
PLA2G4B,2,"0,291092","-0,47389","1,056074","0,476066","0,226639","74,3","0,455775",0,autophagy,UP,"1,22"
PATL1,3,"0,288194","-0,06284","0,639225","0,291879","0,085193","88,5","0,107585",0,autophagy,UP,"1,22"
PRDX1,3,"0,275818","-0,28903","0,840666","0,485028","0,235252","94,6","0,338529",0,autophagy,UP,"1,21"
PLA2G4C,3,"0,27474","-0,35741","0,906886","0,511316","0,261444","86,6","0,394299",0,autophagy,UP,"1,21"
LRTOMT,2,"0,272072","-0,70693","1,251073",0,0,0,"0,58596",0,autophagy,UP,"1,21"
TPI1,3,"0,270832","-0,32982","0,871482","0,488321","0,238457","89,7","0,376825",0,autophagy,UP,"1,21"
UBQLN3,3,"0,2673","-0,64311","1,177712","0,606776","0,368178","56,6","0,564978",0,autophagy,UP,"1,20"
SQSTM1,3,"0,26674","-0,0906","0,624081","0,274714","0,075468","79,7","0,143451",0,Mitochondrial Biogenesis (complete),UP,"1,20"
HBM,1,"0,209","-0,07501","0,493005",NA,NA,NA,"0,149199",0,autophagy,UP,"1,16"
HECW2,3,"0,25975","-0,52268","1,042179","0,670998","0,450239","95,1","0,515254",0,autophagy,UP,"1,20"
RNF13,3,"0,259087","-0,3549","0,873072","0,526294","0,276985","94,3","0,408195",0,autophagy,UP,"1,20"
CMC1,3,"0,253689","-0,18022","0,6876","0,347912","0,121042","83,4","0,251824",0,Mitochondrial Biogenesis (complete),UP,"1,19"
PLA2G4F,3,"0,252651","-0,59774","1,103039","0,624922","0,390527","72,5","0,560352",0,autophagy,UP,"1,19"
GDAP1,3,"0,251121","-0,42562","0,927859","0,577092","0,333035","93,1","0,467038",0,Mitochondrial Biogenesis (complete),UP,"1,19"
DNAJA3,3,"0,249578","-0,3697","0,86886","0,531913","0,282931","94,6","0,429583",0,Mitochondrial Biogenesis (complete),UP,"1,19"
HSPA1L,3,"0,249359","-0,42077","0,919492","0,329801","0,108769","6,2","0,465803",0,Mitochondrial Biogenesis (complete),UP,"1,19"
RNF8,3,"0,249168","-0,08465","0,582983","0,25052","0,06276","76,4","0,14347",0,autophagy,UP,"1,19"
PIK3CD,3,"0,249039","-0,40138","0,899462","0,530517","0,281448","86,6","0,452977",0,Autophagy,UP,"1,19"
BCO1,3,"0,248311","-0,85317","1,34979","0,625356","0,391071","25,2","0,658598",0,autophagy,UP,"1,19"
CYP2W1,3,"0,247638","-0,2351","0,730375","0,303193","0,091926","48,6","0,314677",0,autophagy,UP,"1,19"
MT1E,3,"0,246652","-0,40768","0,900981","0,528631","0,279451","85,4","0,460011",0,Mitochondrial Biogenesis (complete),UP,"1,19"
PSMB9,3,"0,246645","-0,62205","1,115338","0,510004","0,260104","30,1","0,577873",0,autophagy,UP,"1,19"
DCAF11,3,"0,241683","-0,04224","0,525608","0,216712","0,046964","74,6","0,095239",0,autophagy,UP,"1,18"
CPVL,3,"0,240663","-0,14547","0,626798","0,306128","0,093714",83,"0,221862",0,autophagy,UP,"1,18"
PNPLA4,3,"0,239701","-0,12012","0,59952","0,283752","0,080515","80,7","0,191656",0,autophagy,UP,"1,18"
ARIH2,3,"0,237507","-0,18472","0,659737","0,354559","0,125712","90,6","0,270239",0,autophagy,UP,"1,18"
CYP2U1,3,"0,236042","-0,19132","0,663408","0,34143","0,116575","84,2","0,279011",0,autophagy,UP,"1,18"
NRBF2,3,"0,235623","-0,1812","0,652449","0,344503","0,118682","87,9","0,267885",0,Autophagy,UP,"1,18"
GUF1,3,"0,2356","-0,11463","0,585827","0,287977","0,08293","86,8","0,187336",0,Mitochondrial Biogenesis (complete),UP,"1,18"
ZRANB1,3,"0,234915","-0,04113","0,510956","0,214839","0,046156","77,8","0,095317",0,autophagy,UP,"1,18"
HSPA1B,1,"0,171","-0,007","0,349003",NA,NA,NA,"0,059716",0,Mitochondrial Biogenesis (complete),UP,"1,13"
RNF144B,3,"0,234503","-0,00678","0,475783",0,0,0,"0,056786",0,autophagy,UP,"1,18"
RAB7A,3,"0,234263","-0,03603","0,504556","0,221105","0,048887","85,9","0,089369",0,Mitophagy,UP,"1,18"
TINAGL1,3,"0,23139","-0,32971","0,792491","0,422429","0,178446","79,5","0,418931",0,autophagy,UP,"1,17"
CYP2C8,3,"0,493961","0,214862","0,773059",0,0,0,"0,000523",1,autophagy,UP,"1,41"
NGLY1,3,"0,230456","-0,03994","0,500855","0,211818","0,044867","78,9","0,094826",0,autophagy,UP,"1,17"
FBXL17,3,"0,365908","0,173674","0,558141",0,0,0,"0,000191",1,autophagy,UP,"1,29"
ADH4,3,"0,333156","0,04682","0,619493",0,0,0,"0,022579",1,autophagy,UP,"1,26"
CYP2D6,2,"0,32622","0,00771","0,64473",0,0,0,"0,044703",1,autophagy,UP,"1,25"
PTCD3,3,"0,318874","0,170991","0,466756",0,0,0,"2,38E-05",1,Mitochondrial Biogenesis (complete),UP,"1,25"
RMND5A,3,"0,316486","0,198066","0,434907",0,0,0,"1,62E-07",1,autophagy,UP,"1,25"
GDPD3,3,"0,226749","-0,10529","0,558791",0,0,0,"0,180744",0,autophagy,UP,"1,17"
SMDT1,3,"0,226074","-0,33509","0,78724","0,465069","0,216289","88,5","0,429752",0,Mitochondrial Biogenesis (complete),UP,"1,17"
USP8,3,"0,293964","0,14865","0,439279",0,0,0,"7,34E-05",1,Mitophagy,UP,"1,23"
RNF43,3,"0,222974","-0,26633","0,712276","0,395569","0,156474","84,7","0,371768",0,autophagy,UP,"1,17"
WDR45B,3,"0,222343","-0,09568","0,540361","0,255582","0,065322","84,3","0,170581",0,autophagy,UP,"1,17"
NEDD4L,3,"0,293683","0,108667","0,478698",0,0,0,"0,001863",1,autophagy,UP,"1,23"
DIS3,3,"0,271858","0,135555","0,408162",0,0,0,"9,26E-05",1,autophagy,UP,"1,21"
PLA2G4A,3,"0,267552","0,092184","0,442921",0,0,0,"0,002787",1,autophagy,UP,"1,20"
TIMM9,3,"0,218842","-0,17818","0,615864","0,32136","0,103272","85,1","0,279976",0,Mitochondrial Biogenesis (complete),UP,"1,16"
ISCU,3,"0,217748","-0,19409","0,62959","0,338832","0,114807",88,"0,30007",0,Mitochondrial Biogenesis (complete),UP,"1,16"
ESRRB,3,"0,217528","-0,13366","0,568719","0,230633","0,053192",61,"0,224737",0,Mitochondrial Biogenesis (complete),UP,"1,16"
UBAP1L,3,"0,217056","-0,07382","0,507932",0,0,0,"0,143583",0,autophagy,UP,"1,16"
HBZ,3,"0,21624","-0,02094","0,453423",0,0,0,"0,073948",0,autophagy,UP,"1,16"
SFXN1,2,"0,216046","-0,286","0,718094","0,339317","0,115136","87,5","0,39898",0,Mitochondrial Biogenesis (complete),UP,"1,16"
NSUN4,3,"0,216036","-0,08211","0,51418","0,232482","0,054048","78,2","0,155541",0,Mitochondrial Biogenesis (complete),UP,"1,16"
RHOT1,3,"0,214668","-0,05739","0,486724","0,21688","0,047037","82,1","0,121972",0,Mitochondrial Biogenesis (complete),UP,"1,16"
NEU4,3,"0,213141","-0,21145","0,637734",0,0,0,"0,325165",0,autophagy,UP,"1,16"
HMOX1,3,"0,212957","-0,38853","0,814449","0,431541","0,186228","66,5","0,487723",0,autophagy,UP,"1,16"
ANKZF1,3,"0,212842","-0,03114","0,456819","0,149435","0,022331","47,8","0,08729",0,autophagy,UP,"1,16"
TSC1,3,"0,212715","-0,02057","0,446","0,144991","0,021022","50,4","0,073909",0,Autophagy,UP,"1,16"
HSPA5,3,"0,264799","0,145368","0,384229",0,0,0,"1,39E-05",1,autophagy,UP,"1,20"
PNPLA1,3,"0,211731","-0,69521","1,118669","0,591123","0,349427","53,8","0,647258",0,autophagy,UP,"1,16"
BCO2,3,"0,248086","0,038533","0,457638",0,0,0,"0,020319",1,autophagy,UP,"1,19"
ADH5,3,"0,211341","-0,04264","0,465326","0,192779","0,037164",76,"0,102908",0,autophagy,UP,"1,16"
RRAGB,3,"0,247706","0,10001","0,395402",0,0,0,"0,001012",1,Autophagy,UP,"1,19"
PNPT1,3,"0,208481","-0,19032","0,607285","0,334801","0,112091","90,3","0,305542",0,autophagy,UP,"1,16"
LVRN,3,"0,207546","-1,74535","2,160441","1,543835","2,383427","88,1","0,834994",0,autophagy,UP,"1,15"
CNOT7,2,"0,20742","-0,02718","0,442018","0,124195","0,015424","53,6","0,083107",0,autophagy,UP,"1,15"
C18orf25,3,"0,206544","-0,01914","0,43223","0,166249","0,027639","69,5","0,072851",0,autophagy,UP,"1,15"
OXR1,3,"0,23784","0,116143","0,359537",0,0,0,"0,000128",1,Mitochondrial Biogenesis (complete),UP,"1,18"
CNOT10,3,"0,204401","-0,29982","0,708622","0,428433","0,183555","92,5","0,426879",0,autophagy,UP,"1,15"
SIAH2,3,"0,204346","-0,17692","0,585614","0,306333","0,09384","85,3","0,293494",0,autophagy,UP,"1,15"
COX19,3,"0,204041","-0,02369","0,431768","0,129389","0,016742","41,3","0,079064",0,Mitochondrial Biogenesis (complete),UP,"1,15"
APOOL,3,"0,201002","-0,00899","0,41099","0,145937","0,021297","62,7","0,060638",0,Mitochondrial Biogenesis (complete),UP,"1,15"
SNX25,3,"0,235068","0,100099","0,370037",0,0,0,"0,000641",1,Mitochondrial Biogenesis (complete),UP,"1,18"
YARS1,3,"0,200814","-0,88025","1,281875","0,948064","0,898826","98,6","0,715797",0,Mitochondrial Biogenesis (complete),UP,"1,15"
TIMM22,3,"0,233971","0,011084","0,456858",0,0,0,"0,039641",1,Mitochondrial Biogenesis (complete),UP,"1,18"
SMCR8,3,"0,200497","-0,13825","0,539247","0,262927","0,06913","77,4","0,246022",0,Autophagy,UP,"1,15"
ADAL,3,"0,199782","-0,0829","0,482468","0,209501","0,04389","70,9","0,165996",0,autophagy,UP,"1,15"
UBR3,3,"0,233326","0,100926","0,365726",0,0,0,"0,000552",1,autophagy,UP,"1,18"
ENPEP,3,"0,199497","-0,85114","1,250131","0,860942","0,741222","87,9","0,709767",0,autophagy,UP,"1,15"
CHCHD3,3,"0,199249","-0,30915","0,707649","0,434526","0,188813","93,7","0,442399",0,Mitochondrial Biogenesis (complete),UP,"1,15"
GRPEL1,3,"0,19876","-0,24556","0,643081","0,363554","0,132172",87,"0,38061",0,Mitochondrial Biogenesis (complete),UP,"1,15"
ATG5,3,"0,230958","0,103168","0,358749",0,0,0,"0,000397",1,Mitochondrial Biogenesis (complete),UP,"1,17"
PAN2,3,"0,230074","0,107079","0,353068",0,0,0,"0,000246",1,autophagy,UP,"1,17"
TAX1BP1,3,"0,197799","-0,00742","0,403014","0,153626","0,023601",72,"0,058869",0,Mitochondrial Biogenesis (complete),UP,"1,15"
ANAPC1,3,"0,228514","0,103067","0,35396",0,0,0,"0,000357",1,autophagy,UP,"1,17"
MYO5A,3,"0,194632","-0,03805","0,427311","0,148304","0,021994","51,9","0,101107",0,Mitochondrial Biogenesis (complete),UP,"1,14"
NUDT7,3,"0,193806","-0,27462","0,662228","0,366993","0,134684","79,4","0,417402",0,autophagy,UP,"1,14"
TMEM70,2,"0,193698","-0,44013","0,827523","0,432526","0,187079","89,4","0,549186",0,Mitochondrial Biogenesis (complete),UP,"1,14"
TDO2,3,"0,193555","-0,04577","0,432884",0,0,0,"0,112936",0,autophagy,UP,"1,14"
DMAC2,3,"0,192776","-0,22841","0,613962","0,35292","0,124553","90,3","0,369673",0,autophagy,UP,"1,14"
SDHAF2,3,"0,192624","-0,10894","0,494192","0,231905","0,05378","75,8","0,210593",0,Mitochondrial Biogenesis (complete),UP,"1,14"
PDE12,3,"0,191967","-0,01386","0,397797",0,0,0,"0,067552",0,Mitochondrial Biogenesis (complete),UP,"1,14"
LRPPRC,3,"0,190929","-0,08695","0,468805","0,22636","0,051239","85,3","0,178072",0,Mitochondrial Biogenesis (complete),UP,"1,14"
CREB1,3,"0,228035","0,082853","0,373216",0,0,0,"0,00208",1,Mitochondrial Biogenesis (complete),UP,"1,17"
TFAM,3,"0,190158","-0,06548","0,445799","0,174508","0,030453","62,1","0,144857",0,Mitochondrial Biogenesis (complete),UP,"1,14"
SCO1,3,"0,189943","-0,09556","0,475449","0,224961","0,050607","79,8","0,192247",0,Mitochondrial Biogenesis (complete),UP,"1,14"
TIMM10B,3,"0,189374","-0,25988","0,638628","0,374667","0,140376","89,2","0,408692",0,Mitochondrial Biogenesis (complete),UP,"1,14"
GLUD2,3,"0,188887","-0,12965","0,507427",0,0,0,"0,245139",0,autophagy,UP,"1,14"
BCL2L1,3,"0,186477","-0,30032","0,673275","0,410159","0,168231","91,4","0,452763",0,Autophagy,UP,"1,14"
PSMC6,3,"0,186438","-0,06881","0,441689","0,202176","0,040875","80,4","0,152258",0,autophagy,UP,"1,14"
UPF2,3,"0,18621","-0,11062","0,483042","0,239186","0,05721","83,2","0,218862",0,autophagy,UP,"1,14"
CTSA,3,"0,18614","-0,18309","0,555367","0,303854","0,092327","87,1","0,323104",0,autophagy,UP,"1,14"
RPUSD4,3,"0,18612","-0,12758","0,499817","0,235254","0,055344","72,8","0,244873",0,Mitochondrial Biogenesis (complete),UP,"1,14"
UBE2D4,3,"0,185374","-0,00583","0,37658",0,0,0,"0,057404",0,autophagy,UP,"1,14"
RB1CC1,3,"0,22513","0,096122","0,354137",0,0,0,"0,000625",1,Mitochondrial Biogenesis (complete),UP,"1,17"
UQCC1,2,"0,18423","-0,4365","0,804964","0,427552","0,182801",91,"0,560757",0,Mitochondrial Biogenesis (complete),UP,"1,14"
RNF128,3,"0,183815","-0,12546","0,493093",0,0,0,"0,244061",0,autophagy,UP,"1,14"
PRKACB,3,"0,182795","-0,02355","0,389143","0,138131","0,01908","57,4","0,082514",0,Autophagy,UP,"1,14"
ACOXL,3,"0,221106","0,008017","0,434195",0,0,0,"0,041978",1,autophagy,UP,"1,17"
PM20D2,3,"0,180438","-0,22712","0,587998","0,33685","0,113468","87,6","0,385532",0,autophagy,UP,"1,13"
FASTKD2,3,"0,180186","-0,10794","0,468314","0,23011","0,052951","82,2","0,220304",0,Mitochondrial Biogenesis (complete),UP,"1,13"
CSNK2A3,3,"0,180004","-0,09664","0,456652",0,0,0,"0,202206",0,Mitophagy,UP,"1,13"
GLDC,3,"0,179887","-0,16663","0,526401","0,166971","0,027879","27,2","0,308916",0,autophagy,UP,"1,13"
MOXD2P,1,"-0,136","-0,46601","0,194006",NA,NA,NA,"0,419239",0,autophagy,DOWN,"0,91"
DERL1,3,"0,212631","0,085918","0,339344",0,0,0,"0,001006",1,autophagy,UP,"1,16"
NPRL2,3,"0,179335","-0,09929","0,457959","0,188655","0,035591",59,"0,207112",0,autophagy,UP,"1,13"
UBE2U,2,"0,20862","0,03004","0,3872",0,0,0,"0,022038",1,autophagy,UP,"1,16"
FBXL20,3,"0,1773","-0,24694","0,601545","0,327425","0,107207","77,5","0,412716",0,autophagy,UP,"1,13"
RTN4IP1,3,"0,176018","-0,17176","0,523792","0,248215","0,061611","65,6","0,321192",0,Mitochondrial Biogenesis (complete),UP,"1,13"
MAP2K1,3,"0,204677","0,062742","0,346611",0,0,0,"0,004707",1,Autophagy,UP,"1,15"
PRIMPOL,3,"0,19967","0,048315","0,351024",0,0,0,"0,009719",1,Mitochondrial Biogenesis (complete),UP,"1,15"
PSMD11,3,"0,174624","-0,01739","0,366634","0,108478","0,011767","40,6","0,074663",0,autophagy,UP,"1,13"
NUDT12,3,"0,198658","0,02306","0,374256",0,0,0,"0,026596",1,autophagy,UP,"1,15"
STYX,3,"0,173267","-0,02034","0,366873","0,128042","0,016395","56,2","0,079415",0,autophagy,UP,"1,13"
CUL5,3,"0,19497","0,066837","0,323104",0,0,0,"0,00286",1,autophagy,UP,"1,14"
MT1B,1,"0,203","-0,16551","0,571507",NA,NA,NA,"0,280272",0,Mitochondrial Biogenesis (complete),UP,"1,15"
POLG2,3,"0,173171","-0,22294","0,569287","0,318324","0,10133","82,8","0,391522",0,Mitochondrial Biogenesis (complete),UP,"1,13"
NHLRC1,3,"0,173025","-0,1041","0,450146",0,0,0,"0,221044",0,autophagy,UP,"1,13"
QRSL1,3,"0,172512","-0,36437","0,709397","0,461548","0,213026","94,8","0,528835",0,Mitochondrial Biogenesis (complete),UP,"1,13"
LPIN2,3,"0,190304","0,039367","0,341242",0,0,0,"0,013466",1,autophagy,UP,"1,14"
NUBPL,3,"0,179628","0,019974","0,339282",0,0,0,"0,027439",1,Mitochondrial Biogenesis (complete),UP,"1,13"
MT1M,1,"0,288","-0,28551","0,861511",NA,NA,NA,"0,324991",0,Mitochondrial Biogenesis (complete),UP,"1,22"
COX11,3,"0,17112","-0,05099","0,393227","0,159962","0,025588","66,5","0,131027",0,Mitochondrial Biogenesis (complete),UP,"1,13"
TNRC6C,3,"0,177764","0,01064","0,344888",0,0,0,"0,037089",1,autophagy,UP,"1,13"
DERL3,3,"0,170224","-0,44571","0,786155","0,453567","0,205723","75,9","0,588037",0,autophagy,UP,"1,13"
MT4,1,"0,037","-0,28201","0,356006",NA,NA,NA,"0,820166",0,Mitochondrial Biogenesis (complete),UP,"1,03"
HSPA1A,2,"0,169277","-0,00865","0,347206",0,0,0,"0,062226",0,Mitochondrial Biogenesis (complete),UP,"1,12"
IMMT,3,"0,169067","-0,13764","0,475772","0,25317","0,064095",88,"0,279953",0,Mitochondrial Biogenesis (complete),UP,"1,12"
FBXO48,3,"0,168798","-0,23424","0,57183","0,283585","0,080421","65,3","0,411712",0,autophagy,UP,"1,12"
BNIP2,3,"0,173436","0,053926","0,292947",0,0,0,"0,00445",1,autophagy,UP,"1,13"
PRKAA2,3,"0,173228","0,019318","0,327138",0,0,0,"0,027383",1,Mitochondrial Biogenesis (complete),UP,"1,13"
DERL2,3,"0,166292","-0,18314","0,51572","0,279393","0,07806","81,9","0,350943",0,autophagy,UP,"1,12"
UFD1,3,"0,165923","-0,22046","0,55231","0,315654","0,099637",87,"0,399976",0,autophagy,UP,"1,12"
RETREG1,3,"0,171762","0,030061","0,313463",0,0,0,"0,017511",1,autophagy,UP,"1,13"
NGRN,3,"0,165183","-0,33733","0,667692","0,429839","0,184762","93,7","0,519393",0,Mitochondrial Biogenesis (complete),UP,"1,12"
OPA1,3,"0,164667","-0,06176","0,391092","0,14971","0,022413",56,"0,154041",0,Mitochondrial Biogenesis (complete),UP,"1,12"
MRPS6,2,"0,164312","-0,50584","0,834463","0,458227","0,209972","89,8","0,630825",0,Mitochondrial Biogenesis (complete),UP,"1,12"
HACL1,3,"0,163662","-0,10337","0,430698","0,194998","0,038024","68,3","0,229651",0,autophagy,UP,"1,12"
ATG12,3,"0,163598","-0,03296","0,360152","0,137347","0,018864","62,7","0,102811",0,Mitochondrial Biogenesis (complete),UP,"1,12"
MT1H,3,"0,163336","-0,27411","0,600778",0,0,0,"0,464264",0,Mitochondrial Biogenesis (complete),UP,"1,12"
HMGCLL1,3,"0,162915","-0,11892","0,444754","0,204909","0,041988","67,9","0,257231",0,autophagy,UP,"1,12"
PSMD12,3,"0,170241","0,048699","0,291784",0,0,0,"0,006045",1,autophagy,UP,"1,13"
UBE2W,3,"0,168424","0,039129","0,297718",0,0,0,"0,010675",1,autophagy,UP,"1,12"
AMN1,3,"0,162644","-0,46506","0,79035","0,534164","0,285331","93,3","0,611556",0,autophagy,UP,"1,12"
COX14,3,"0,16217","-0,33376","0,658098","0,411222","0,169104","88,2","0,521572",0,Mitochondrial Biogenesis (complete),UP,"1,12"
COA6,3,"0,161934","-0,2155","0,539371","0,294246","0,08658","78,4","0,400398",0,Mitochondrial Biogenesis (complete),UP,"1,12"
TRIB3,3,"0,161927","-1,15498","1,478835","1,131107","1,279404","95,8","0,809554",0,autophagy,UP,"1,12"
LTN1,3,"0,165853","0,040507","0,291199",0,0,0,"0,009503",1,autophagy,UP,"1,12"
NFE2L2,3,"0,16104","-0,03083","0,352907","0,143047","0,020463","71,5","0,099952",0,Mitochondrial Biogenesis (complete),UP,"1,12"
ATG4A,3,"0,160846","-0,05551","0,377204","0,147553","0,021772","60,2","0,145083",0,Mitochondrial Biogenesis (complete),UP,"1,12"
CPT1A,3,"0,160828","-0,31763","0,639283","0,385792","0,148835","88,9","0,510002",0,Mitochondrial Biogenesis (complete),UP,"1,12"
RAB8A,3,"0,162786","0,005927","0,319645",0,0,0,"0,041946",1,Autophagy,UP,"1,12"
MTIF2,3,"0,159385","-0,17349","0,492263","0,267108","0,071347","83,8","0,348008",0,Mitochondrial Biogenesis (complete),UP,"1,12"
EI24,3,"0,158887","-0,04624","0,364015","0,146137","0,021356","65,6","0,128973",0,autophagy,UP,"1,12"
MEIOC,3,"0,15887","-0,08335","0,401087","0,115817","0,013414","28,6","0,198596",0,autophagy,UP,"1,12"
BNIP3L,3,"0,158547","-0,13213","0,449221","0,197429","0,038978",63,"0,285038",0,Mitochondrial Biogenesis (complete),UP,"1,12"
ATPAF1,3,"0,158149","-0,02734","0,34364","0,119719","0,014333","53,4","0,094702",0,Mitochondrial Biogenesis (complete),UP,"1,12"
PSMD2,3,"0,157989","-0,08389","0,399864","0,181008","0,032764","72,3","0,200458",0,autophagy,UP,"1,12"
HRAS,3,"0,156825","-0,02196","0,33561",0,0,0,"0,085567",0,Autophagy,UP,"1,11"
PSMF1,3,"0,156662","-0,04554","0,358866","0,141679","0,020073",63,"0,128875",0,autophagy,UP,"1,11"
EPG5,3,"0,162785","0,022519","0,303051",0,0,0,"0,022926",1,autophagy,UP,"1,12"
RNF41,3,"0,155877","-0,50381","0,815561","0,570872","0,325895","96,1","0,643273",0,Mitochondrial Biogenesis (complete),UP,"1,11"
SRD5A3,3,"0,155787","-0,20811","0,519684","0,23703","0,056183","56,4","0,40142",0,autophagy,UP,"1,11"
LAMP2,3,"0,161052","0,029121","0,292983",0,0,0,"0,016728",1,autophagy,UP,"1,12"
NEU2,1,"0,063","-0,23951","0,365506",NA,NA,NA,"0,683134",0,autophagy,UP,"1,04"
APOA4,3,"0,155622","-1,535","1,846242","1,219989","1,488374","68,1","0,856824",0,autophagy,UP,"1,11"
DPYSL2,3,"0,155203","-0,32305","0,633457","0,381123","0,145255","86,9","0,524736",0,autophagy,UP,"1,11"
BCS1L,3,"0,154476","-0,15482","0,463776","0,23826","0,056768","76,1","0,32763",0,Mitochondrial Biogenesis (complete),UP,"1,11"
TEFM,3,"0,153932","-0,17498","0,482841","0,245556","0,060298","71,9","0,358989",0,Mitochondrial Biogenesis (complete),UP,"1,11"
MRPL37,3,"0,153851","-0,14456","0,452261","0,24011","0,057653","83,1","0,312246",0,Mitochondrial Biogenesis (complete),UP,"1,11"
GABARAPL2,3,"0,152673","-0,13665","0,441999","0,233114","0,054342","83,2","0,301013",0,Mitochondrial Biogenesis (complete),UP,"1,11"
UBQLN1,3,"0,160784","0,051396","0,270172",0,0,0,"0,003965",1,autophagy,UP,"1,12"
ATG9A,3,"0,15573","0,050512","0,260948",0,0,0,"0,003721",1,Mitochondrial Biogenesis (complete),UP,"1,11"
NFS1,3,"0,152014","-0,12789","0,431915","0,187809","0,035272",58,"0,287115",0,Mitochondrial Biogenesis (complete),UP,"1,11"
PSMA1,3,"0,151508","-0,1147","0,41772","0,20237","0,040954","75,1","0,264641",0,autophagy,UP,"1,11"
ATG16L1,3,"0,150551","-0,00659","0,307696",0,0,0,"0,060415",0,Mitochondrial Biogenesis (complete),UP,"1,11"
SESN2,3,"0,149187","-0,45531","0,753687","0,488125","0,238266","86,3","0,628587",0,autophagy,UP,"1,11"
