gene,k,MD,LI,LS,tau,tau2,I2,pvalor,significativo,Pathway,UP/DOWN,Alteração
HSCB,3,"-0,11693","-0,28109","0,047222",0,0,0,"0,162663",0,Mitochondrial Biogenesis (complete),DOWN,"0,92"
CMC2,3,"-0,11645","-0,34432","0,111427","0,136406","0,018607","46,2","0,316544",0,Mitochondrial Biogenesis (complete),DOWN,"0,92"
BNIPL,3,"-0,11576","-0,33737","0,10585",0,0,0,"0,305914",0,autophagy,DOWN,"0,92"
PIK3R2,3,"-0,11419","-0,25094","0,02256",0,0,0,"0,101705",0,Autophagy,DOWN,"0,92"
AKT1S1,3,"-0,11335","-0,26556","0,038863",0,0,0,"0,144411",0,Autophagy,DOWN,"0,92"
TRIM3,3,"-0,11226","-0,33215","0,10764","0,11369","0,012925","33,4","0,317035",0,autophagy,DOWN,"0,93"
TMEM150B,3,"-0,11004","-0,42961","0,209534",0,0,0,"0,499755",0,autophagy,DOWN,"0,93"
KRAS,3,"-0,10907","-0,34104","0,122904","0,176256","0,031066","73,9","0,356759",0,Autophagy,DOWN,"0,93"
KYNU,3,"-0,10829","-0,3669","0,150319","0,186726","0,034867","67,5","0,411797",0,autophagy,DOWN,"0,93"
RNF144A,3,"-0,10678","-0,6417","0,428142","0,444556","0,19763","88,5","0,69561",0,autophagy,DOWN,"0,93"
ATP5MF-PTCD1,2,"-0,10639","-0,46573","0,252949","0,170767","0,029161","43,1","0,561709",0,Mitochondrial Biogenesis (complete),DOWN,"0,93"
PSMB7,3,"-0,10582","-0,24931","0,037676","0,07192","0,005172","31,7","0,148354",0,autophagy,DOWN,"0,93"
GLS2,3,"-0,10353","-0,31855","0,1115",0,0,0,"0,345347",0,autophagy,DOWN,"0,93"
HIF1A,3,"-0,10349","-0,34892","0,141934","0,184561","0,034063","76,2","0,408521",0,Autophagy,DOWN,"0,93"
ERI3,3,"-0,10318","-0,2281","0,021746",0,0,0,"0,105487",0,autophagy,DOWN,"0,93"
SLFN14,3,"-0,10279","-0,28769","0,082096",0,0,0,"0,27584",0,autophagy,DOWN,"0,93"
CRMP1,3,"-0,10271","-0,4081","0,202679","0,217351","0,047241","70,2","0,509763",0,autophagy,DOWN,"0,93"
SPSB4,3,"-0,10256","-0,25332","0,048192",0,0,0,"0,182384",0,autophagy,DOWN,"0,93"
RPTOR,3,"-0,10243","-0,32558","0,120723","0,160573","0,025784","66,5","0,368301",0,Autophagy,DOWN,"0,93"
E2F1,3,"-0,10194","-0,56535","0,361469","0,363375","0,132042","80,8","0,666353",0,Mitophagy,DOWN,"0,93"
UBA1,3,"-0,10094","-0,22535","0,023459","0,022796","0,00052","3,8","0,111745",0,autophagy,DOWN,"0,93"
TANK,2,"-0,09997","-0,26566","0,065721",0,0,0,"0,236984",0,Autophagy,DOWN,"0,93"
COA3,3,"-0,09987","-0,36757","0,167835","0,191092","0,036516","65,2","0,464668",0,Mitochondrial Biogenesis (complete),DOWN,"0,93"
ATG4D,3,"-0,09977","-0,48617","0,28663","0,294113","0,086503","74,6","0,612798",0,Mitochondrial Biogenesis (complete),DOWN,"0,93"
GGT1,3,"-0,09895","-0,58701","0,389098","0,361233","0,130489","71,1","0,691074",0,autophagy,DOWN,"0,93"
ECSIT,3,"-0,09808","-0,42437","0,228205","0,255608","0,065335","78,9","0,555745",0,Mitochondrial Biogenesis (complete),DOWN,"0,93"
GDAP1L1,3,"-0,09724","-0,45844","0,263949",0,0,0,"0,597714",0,Mitochondrial Biogenesis (complete),DOWN,"0,93"
LARS2,3,"-0,0967","-0,33817","0,14478","0,170448","0,029053","63,8","0,432538",0,Mitochondrial Biogenesis (complete),DOWN,"0,94"
RNF217,3,"-0,09636","-0,45527","0,262545","0,300385","0,090231","89,7","0,598718",0,autophagy,DOWN,"0,94"
PSMB5,3,"-0,09485","-0,2247","0,035",0,0,0,"0,152231",0,autophagy,DOWN,"0,94"
TFEB,3,"-0,09453","-0,2619","0,072831",0,0,0,"0,26826",0,Mitophagy,DOWN,"0,94"
PSMB3,3,"-0,09439","-0,33968","0,150896","0,161738","0,026159","57,3","0,450702",0,autophagy,DOWN,"0,94"
FBXL18,3,"-0,0942","-0,24834","0,059936",0,0,0,"0,230976",0,autophagy,DOWN,"0,94"
RNASEH1,2,"-0,09374","-0,24745","0,05997",0,0,0,"0,231966",0,autophagy,DOWN,"0,94"
NDUFAF8,3,"-0,09373","-0,54189","0,354419","0,366811","0,13455","86,4","0,681848",0,Mitochondrial Biogenesis (complete),DOWN,"0,94"
SLC25A31,3,"-0,09334","-0,33271","0,14603",0,0,0,"0,4447",0,Mitochondrial Biogenesis (complete),DOWN,"0,94"
GGT7,3,"-0,09329","-0,29591","0,109328","0,106486","0,011339","35,1","0,366834",0,autophagy,DOWN,"0,94"
HCFC1,3,"-0,0928","-0,51525","0,329649","0,349725","0,122307","88,5","0,666793",0,Mitochondrial Biogenesis (complete),DOWN,"0,94"
DNASE1L3,3,"-0,0924","-0,49828","0,313475","0,235561","0,055489","39,6","0,655439",0,autophagy,DOWN,"0,94"
PNPLA3,3,"-0,09159","-0,30889","0,1257",0,0,0,"0,408702",0,autophagy,DOWN,"0,94"
MTERF4,3,"-0,09069","-0,22739","0,046001",0,0,0,"0,193462",0,Mitochondrial Biogenesis (complete),DOWN,"0,94"
PGD,3,"-0,09007","-0,27551","0,095369","0,117491","0,013804","51,8","0,341101",0,autophagy,DOWN,"0,94"
NDUFAF6,3,"-0,08946","-0,24692","0,067997",0,0,0,"0,265448",0,Mitochondrial Biogenesis (complete),DOWN,"0,94"
MLST8,3,"-0,08914","-0,44647","0,268183","0,285331","0,081414","82,1","0,62487",0,Autophagy,DOWN,"0,94"
YY1,3,"-0,08837","-0,21579","0,039046","0,054561","0,002977","23,5","0,174029",0,Mitochondrial Biogenesis (complete),DOWN,"0,94"
VPS37D,3,"-0,08815","-0,2696","0,093303",0,0,0,"0,34101",0,autophagy,DOWN,"0,94"
