gene_symbol,annotation_ids,annotation_names,databases,n_annotation
SUMO2,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
SUMO3,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
SUMO4,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
SUPT20H,GO:0006914|path:hsa04140,autophagy|Autophagy,GO|KEGG,2
SUPV3L1,GO:0070584|br:hsa03029,mitochondrion morphogenesis|Mitochondrial Biogenesis,GO|KEGG,2
SURF1,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
SYNJ2BP,GO:0005741,mitochondrial outer membrane,GO,1
SYNJ2BP-COX16,GO:0005743,mitochondrial inner membrane,GO,1
SYT11,GO:0006914,autophagy,GO,1
TAB2,GO:0010507,negative regulation of autophagy,GO,1
TAB3,GO:0010507,negative regulation of autophagy,GO,1
TACO1,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
TAFAZZIN,GO:0005743|GO:0005741|GO:0007005|GO:0007007,mitochondrial inner membrane|mitochondrial outer membrane|mitochondrion organization|inner mitochondrial membrane organization,GO,4
TAMM41,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
TANK,path:hsa04140,Autophagy,KEGG,1
TAX1BP1,GO:0006914|path:hsa04137|br:hsa03029,autophagy|Mitophagy|Mitochondrial Biogenesis,GO|KEGG,3
TBC1D14,GO:0006914|GO:0010507,autophagy|negative regulation of autophagy,GO,2
TBC1D15,path:hsa04137,Mitophagy,KEGG,1
TBC1D17,GO:0006914|path:hsa04137,autophagy|Mitophagy,GO|KEGG,2
TBC1D25,GO:0006914,autophagy,GO,1
TBC1D5,GO:0006914,autophagy,GO,1
TBK1,path:hsa04137|path:hsa04140,Mitophagy|Autophagy,KEGG,2
TCIRG1,GO:0006914,autophagy,GO,1
TECPR1,GO:0006914|br:hsa03029,autophagy|Mitochondrial Biogenesis,GO|KEGG,2
TECPR2,GO:0006914,autophagy,GO,1
TEFM,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
TERT,GO:0007005,mitochondrion organization,GO,1
TEX264,GO:0006914,autophagy,GO,1
TFAM,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
TFB1M,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
TFB2M,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
TFCP2,GO:0005743,mitochondrial inner membrane,GO,1
TFE3,path:hsa04137,Mitophagy,KEGG,1
TFEB,GO:0006914|path:hsa04137,autophagy|Mitophagy,GO|KEGG,2
TGFBRAP1,GO:0006914,autophagy,GO,1
THEM4,GO:0005743,mitochondrial inner membrane,GO,1
THG1L,GO:0005741|GO:0008053,mitochondrial outer membrane|mitochondrial fusion,GO,2
TIGAR,GO:0006914|GO:0005741,autophagy|mitochondrial outer membrane,GO,2
TIMM10,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
TIMM10B,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
TIMM13,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
TIMM17A,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
TIMM17B,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
TIMM21,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
TIMM22,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
TIMM23,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
TIMM23B,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
TIMM29,GO:0005743,mitochondrial inner membrane,GO,1
TIMM44,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
TIMM50,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
TIMM8A,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
TIMM8B,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
TIMM9,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
TIMMDC1,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
TLK2,GO:0010507,negative regulation of autophagy,GO,1
TM9SF1,GO:0006914,autophagy,GO,1
TMBIM6,GO:0006914,autophagy,GO,1
TMEM11,GO:0007005|GO:0005743|GO:0007007,mitochondrion organization|mitochondrial inner membrane|inner mitochondrial membrane organization,GO,3
TMEM126A,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
TMEM126B,GO:0005743|GO:0007005|br:hsa03029,mitochondrial inner membrane|mitochondrion organization|Mitochondrial Biogenesis,GO|KEGG,3
TMEM135,GO:0070584,mitochondrion morphogenesis,GO,1
TMEM14C,GO:0005743,mitochondrial inner membrane,GO,1
TMEM150B,GO:0006914,autophagy,GO,1
TMEM177,GO:0005743,mitochondrial inner membrane,GO,1
TMEM186,GO:0005743,mitochondrial inner membrane,GO,1
TMEM208,GO:0006914,autophagy,GO,1
TMEM223,GO:0005743,mitochondrial inner membrane,GO,1
TMEM242,GO:0005743,mitochondrial inner membrane,GO,1
TMEM39A,GO:0006914,autophagy,GO,1
TMEM41B,GO:0006914,autophagy,GO,1
TMEM59,GO:0006914,autophagy,GO,1
TMEM65,GO:0005743,mitochondrial inner membrane,GO,1
TMEM70,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
TMEM74,GO:0006914,autophagy,GO,1
TOLLIP,GO:0006914,autophagy,GO,1
TOMM20,GO:0005741|GO:0045040|br:hsa03029,mitochondrial outer membrane|protein insertion into mitochondrial outer membrane|Mitochondrial Biogenesis,GO|KEGG,3
TOMM20L,GO:0005741|br:hsa03029,mitochondrial outer membrane|Mitochondrial Biogenesis,GO|KEGG,2
TOMM22,GO:0005741|GO:0045040|br:hsa03029,mitochondrial outer membrane|protein insertion into mitochondrial outer membrane|Mitochondrial Biogenesis,GO|KEGG,3
TOMM34,GO:0005741|br:hsa03029,mitochondrial outer membrane|Mitochondrial Biogenesis,GO|KEGG,2
TOMM40,GO:0005741|GO:0045040|GO:0005743|br:hsa03029,mitochondrial outer membrane|protein insertion into mitochondrial outer membrane|mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,4
TOMM40L,GO:0005741|br:hsa03029,mitochondrial outer membrane|Mitochondrial Biogenesis,GO|KEGG,2
TOMM5,GO:0005741|GO:0045040|br:hsa03029,mitochondrial outer membrane|protein insertion into mitochondrial outer membrane|Mitochondrial Biogenesis,GO|KEGG,3
TOMM6,GO:0005741|GO:0045040|br:hsa03029,mitochondrial outer membrane|protein insertion into mitochondrial outer membrane|Mitochondrial Biogenesis,GO|KEGG,3
TOMM7,GO:0005741|GO:0045040|path:hsa04137|br:hsa03029,mitochondrial outer membrane|protein insertion into mitochondrial outer membrane|Mitophagy|Mitochondrial Biogenesis,GO|KEGG,4
TOMM70,GO:0005741|GO:0045040|br:hsa03029,mitochondrial outer membrane|protein insertion into mitochondrial outer membrane|Mitochondrial Biogenesis,GO|KEGG,3
TP53,GO:0006914|path:hsa04137,autophagy|Mitophagy,GO|KEGG,2
TP53INP1,GO:0010506|GO:0006914,regulation of autophagy|autophagy,GO,2
TP53INP2,GO:0006914|path:hsa04140,autophagy|Autophagy,GO|KEGG,2
TPCN2,GO:0010506,regulation of autophagy,GO,1
TRAF3IP3,GO:0005741,mitochondrial outer membrane,GO,1
TRAF6,path:hsa04140,Autophagy,KEGG,1
TRAP1,GO:0005743,mitochondrial inner membrane,GO,1
TRAPPC4,GO:0006914,autophagy,GO,1
TREM2,GO:0010507,negative regulation of autophagy,GO,1
TRIAP1,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
TRIB3,GO:0010506,regulation of autophagy,GO,1
TRIM14,GO:0005741,mitochondrial outer membrane,GO,1
TRIM17,GO:0006914,autophagy,GO,1
TRIM5,GO:0006914,autophagy,GO,1
TRMT10C,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
TRUB2,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
TSC1,path:hsa04140,Autophagy,KEGG,1
TSC2,path:hsa04140,Autophagy,KEGG,1
TSFM,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
TSPO,GO:0005741,mitochondrial outer membrane,GO,1
TTC19,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
TUFM,GO:0005741|br:hsa03029,mitochondrial outer membrane|Mitochondrial Biogenesis,GO|KEGG,2
TWNK,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
TYMS,GO:0005743,mitochondrial inner membrane,GO,1
UBA52,GO:0005741|path:hsa04137,mitochondrial outer membrane|Mitophagy,GO|KEGG,2
UBB,GO:0005741|path:hsa04137,mitochondrial outer membrane|Mitophagy,GO|KEGG,2
UBC,GO:0005741|path:hsa04137,mitochondrial outer membrane|Mitophagy,GO|KEGG,2
UBQLN1,GO:0006914,autophagy,GO,1
UBQLN2,GO:0006914,autophagy,GO,1
UBQLN4,GO:0006914,autophagy,GO,1
UCP1,GO:0005743,mitochondrial inner membrane,GO,1
UCP2,GO:0005743|GO:0000266,mitochondrial inner membrane|mitochondrial fission,GO,2
UCP3,GO:0005743,mitochondrial inner membrane,GO,1
ULK1,GO:0006914|GO:0000422|GO:0005741|path:hsa04137|path:hsa04140|br:hsa03029,autophagy|autophagy of mitochondrion|mitochondrial outer membrane|Mitophagy|Autophagy|Mitochondrial Biogenesis,GO|KEGG,6
ULK2,GO:0006914|GO:0000422|path:hsa04140|br:hsa03029,autophagy|autophagy of mitochondrion|Autophagy|Mitochondrial Biogenesis,GO|KEGG,4
ULK3,GO:0006914,autophagy,GO,1
UMOD,GO:0006914,autophagy,GO,1
UQCC1,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
UQCC2,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
UQCC3,GO:0005743|br:hsa03029,mitochondrial inner membrane|Mitochondrial Biogenesis,GO|KEGG,2
UQCR10,GO:0005743,mitochondrial inner membrane,GO,1
UQCR11,GO:0005743,mitochondrial inner membrane,GO,1
UQCRB,GO:0005743,mitochondrial inner membrane,GO,1
UQCRC1,GO:0005743,mitochondrial inner membrane,GO,1
UQCRC2,GO:0005743,mitochondrial inner membrane,GO,1
UQCRFS1,GO:0005743,mitochondrial inner membrane,GO,1
UQCRH,GO:0005743,mitochondrial inner membrane,GO,1
UQCRHL,GO:0005743,mitochondrial inner membrane,GO,1
UQCRQ,GO:0005743,mitochondrial inner membrane,GO,1
USP10,GO:0006914|GO:0010506,autophagy|regulation of autophagy,GO,2
USP13,GO:0006914|GO:0010506,autophagy|regulation of autophagy,GO,2
USP15,path:hsa04137,Mitophagy,KEGG,1
USP30,GO:0005741|GO:0008053|GO:0000422|path:hsa04137,mitochondrial outer membrane|mitochondrial fusion|autophagy of mitochondrion|Mitophagy,GO|KEGG,4
USP33,GO:0010506,regulation of autophagy,GO,1
USP8,path:hsa04137,Mitophagy,KEGG,1
UVRAG,GO:0006914|GO:0010506|path:hsa04140,autophagy|regulation of autophagy|Autophagy,GO|KEGG,3
UXT,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
VAMP1,GO:0005741,mitochondrial outer membrane,GO,1
VAMP8,GO:0006914|path:hsa04140,autophagy|Autophagy,GO|KEGG,2
VAT1,GO:0005741|br:hsa03029,mitochondrial outer membrane|Mitochondrial Biogenesis,GO|KEGG,2
VCP,GO:0006914,autophagy,GO,1
VDAC1,GO:0005741|br:hsa03029,mitochondrial outer membrane|Mitochondrial Biogenesis,GO|KEGG,2
VDAC2,GO:0005741|br:hsa03029,mitochondrial outer membrane|Mitochondrial Biogenesis,GO|KEGG,2
VDAC3,GO:0005741|br:hsa03029,mitochondrial outer membrane|Mitochondrial Biogenesis,GO|KEGG,2
VHL,GO:0010507,negative regulation of autophagy,GO,1
VMP1,GO:0006914|path:hsa04140,autophagy|Autophagy,GO|KEGG,2
VPS11,GO:0006914,autophagy,GO,1
VPS13A,GO:0005741|GO:0006914,mitochondrial outer membrane|autophagy,GO,2
VPS13C,GO:0005741|GO:0007005,mitochondrial outer membrane|mitochondrion organization,GO,2
VPS13D,GO:0007005,mitochondrion organization,GO,1
VPS16,GO:0006914,autophagy,GO,1
VPS18,GO:0006914,autophagy,GO,1
VPS33A,GO:0006914,autophagy,GO,1
VPS39,GO:0006914,autophagy,GO,1
VPS41,GO:0006914,autophagy,GO,1
VPS4A,GO:0006914,autophagy,GO,1
VPS4B,GO:0006914,autophagy,GO,1
VPS51,GO:0006914,autophagy,GO,1
VPS54,GO:0007005,mitochondrion organization,GO,1
VTI1A,GO:0006914,autophagy,GO,1
WAC,GO:0010506,regulation of autophagy,GO,1
WASF1,GO:0070584|GO:0005741,mitochondrion morphogenesis|mitochondrial outer membrane,GO,2
WASHC1,GO:0010507,negative regulation of autophagy,GO,1
WDFY3,GO:0006914,autophagy,GO,1
WDFY4,GO:0006914,autophagy,GO,1
WDR24,GO:0006914|GO:0010506,autophagy|regulation of autophagy,GO,2
WDR41,GO:0010506|GO:0006914|path:hsa04140,regulation of autophagy|autophagy|Autophagy,GO|KEGG,3
WDR45,GO:0006914|GO:0000422,autophagy|autophagy of mitochondrion,GO,2
WDR45B,GO:0006914|GO:0000422,autophagy|autophagy of mitochondrion,GO,2
WDR47,GO:0006914,autophagy,GO,1
WDR6,GO:0010507,negative regulation of autophagy,GO,1
WDR81,GO:0007005,mitochondrion organization,GO,1
WIPI1,GO:0006914|GO:0000422|path:hsa04140|br:hsa03029,autophagy|autophagy of mitochondrion|Autophagy|Mitochondrial Biogenesis,GO|KEGG,4
WIPI2,GO:0006914|GO:0000422|path:hsa04140|br:hsa03029,autophagy|autophagy of mitochondrion|Autophagy|Mitochondrial Biogenesis,GO|KEGG,4
XBP1,GO:0006914,autophagy,GO,1
XIAP,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
YARS1,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
YARS2,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
YME1L1,GO:0005743|GO:0007005,mitochondrial inner membrane|mitochondrion organization,GO,2
YY1,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
YY2,br:hsa03029,Mitochondrial Biogenesis,KEGG,1
ZFYVE1,path:hsa04140|br:hsa03029,Autophagy|Mitochondrial Biogenesis,KEGG,2
ZKSCAN3,GO:0006914|GO:0010507,autophagy|negative regulation of autophagy,GO,2
ZMPSTE24,GO:0010506,regulation of autophagy,GO,1
ZNFX1,GO:0005741,mitochondrial outer membrane,GO,1
